Mixture Label,INTENSITY,PLEASANTNESS,BAKERY,SWEET,FRUIT,FISH,GARLIC,SPICES,COLD,SOUR,BURNT,ACID,WARM,MUSKY,SWEATY,AMMONIA,DECAYED,WOOD,GRASS,FLOWER,CHEMICAL
1,54.20894999782647,42.20722022680037,3.9525035053550353,12.731262392432672,4.162329945445345,1.5825419666251321,2.9905821941291277,7.185551578664752,4.501862733812586,8.981965632490162,5.908434666014326,6.652235479276105,6.112572388121157,8.817925849142748,4.490728734449715,5.87660408043894,4.815250873764299,3.2906194690427157,2.559728875052744,6.294131979311638,17.96457218872103
2,57.5581318017549,42.716910969023544,3.687036173958473,13.196837129967719,4.44453309850565,1.3941245564433289,2.22170471436216,6.683084107397072,5.120134190439343,7.448196617568682,5.595585462035039,6.697485982888857,6.062040104818189,8.063019169979409,3.6731040191021775,6.270731983053214,4.142687010846177,3.3603559060660246,3.074867656913861,6.30793199398248,19.876615940740372
3,57.25326379235213,40.55740594571685,3.089115304201674,15.744580901911945,6.132282734974353,1.3288536583988773,2.0693952663273762,4.7231011224624595,4.811650184861101,7.103207340545467,7.052782776769263,6.540326949647243,5.811437673927588,8.110991885806527,3.861612166249188,5.930249290559219,3.9396304254641876,3.978973679887389,2.631756675856389,6.693255423531897,19.00534907962495
4,54.36259572278889,42.266446838986774,3.2453651810778985,11.988295389792714,4.955661767803801,1.9233570435106764,3.402409491675928,6.802754247855471,5.130572340032202,8.226950001664282,5.364544009997479,6.806357729358744,5.788964228197172,7.975344408030772,4.071021813972419,6.293317188865079,5.077631558504387,3.4336801730579154,3.163399816131545,6.096286046983302,19.2094487100301
5,55.05011265829668,40.878941308589596,3.172222441379871,11.121898170163162,3.8901753309556626,1.8124880567045178,3.3221394702003684,6.760125338428628,4.93916910233857,8.40649271450374,5.8162579783410955,6.774753274867534,5.776018122954604,8.645872211221347,4.431175450413851,6.360315808996787,5.004268306769874,3.565354503815692,2.9801749370069555,5.810963366447817,19.46284194934385
6,55.62482834015376,41.12034318674199,3.2186629849916244,11.37835940437032,4.297609115853541,1.760024922920299,3.1840365338548655,6.562132437833857,4.942947845204851,8.378591147712807,5.787588502127052,6.7677734030902,5.798707722295871,8.56086901840597,4.360707527797537,6.304606153035978,4.937532891019712,3.6147779804992206,3.0760753004451553,5.82672945523925,19.297994073795376
7,57.889202849411745,43.15222068852432,3.364089090071549,10.219883405783847,2.902250647385202,1.1654042887652647,1.6493027709310937,7.267120247071719,5.680731172348924,7.48772402025773,6.295436036737604,6.614364653279001,6.107595627932478,7.726099200720071,3.3587573336779855,6.150308159387938,3.899543439501649,4.51111145918378,4.434463923128977,6.784892703793361,20.838025023828052
8,62.08921606200744,34.464597177673625,2.702462984066959,6.271336490893248,3.44728757884144,0.9811613107433459,1.5631796999410028,5.409254223555514,2.8712542229582922,10.992564650555934,7.9736774676616164,6.471179994397277,5.841823068634285,11.307645251936464,5.982977930610247,5.69785283785312,4.397000542274242,5.635573925182143,5.789206594565831,5.32615163776656,15.726695773884586
9,51.35977542342913,40.50021005778052,3.443809832809017,11.328190181499792,4.337783157547216,1.7114433019947755,3.064449379485096,6.807517455983666,4.612597906224637,8.538508219775661,6.147464301663741,6.704452060045623,5.982994779643212,8.460448813896665,4.29627715140612,6.109814978256685,4.698415741051088,3.6484632448735965,2.592837763164639,5.929987039489743,18.28463935682216
10,53.72742388349357,41.363804268227916,3.117929317415899,11.64897696645667,4.731663737229416,1.53253364076141,2.5859776485969155,6.704494043069462,4.887857035457327,8.31450705825279,5.626304599074738,6.718691052833453,5.865483484281932,8.139516413003664,4.082158890616239,6.209769363184537,4.523333321499166,3.5683870229138055,2.969884357726442,6.297783712099582,19.543958525626998
11,55.832030092923354,39.391779097343004,3.4691720877115397,9.338382262915621,2.2449982708003327,1.9103168674780353,3.673588959686976,7.158347092131284,4.725664075683419,8.96560740995273,6.524378937245842,6.83740402249924,5.858222185146841,9.27861050091853,4.908210985968097,6.467120736629923,5.316133267665708,3.856119733895594,2.461022506396974,5.027622065225283,19.731536910028723
12,57.118834205458285,45.12021333441936,3.9316166419673664,16.30016730308965,6.228667110439716,1.2842157285573972,2.1935057392419672,6.528599399086535,4.767674005650642,8.503497091364071,5.401000912554845,6.643889397652899,5.998174996627554,7.400767683229198,3.4279501022915895,5.521719238871689,4.372217375372017,3.2440223497433713,2.951153946717418,6.796292963816022,18.18381324728938
13,57.54540121844307,42.02442711251216,3.8814701302259826,11.741471955650491,3.8626780703628127,1.3492360157261636,2.2215325804257646,7.016411441626905,4.811089075477877,8.39969301697508,6.208215720019303,6.735529247364651,6.054745441029828,8.724467887012969,4.328604476064004,6.192675622051767,4.369599887248536,3.590931155198213,2.8883252969270634,5.7445861602297725,19.67385403924767
14,56.69040897196993,40.27808873840966,3.806660568014414,11.26506043256099,3.6378776125598846,2.154746084301866,3.6685908958600804,7.123932487591834,4.761501163696309,8.0013337037738,7.392856579911505,6.726292848050218,6.063055143193038,8.7012458354269,4.193919383595238,6.431428218291257,5.345406834212699,3.5255721619636127,2.615207057801597,5.658047575748033,18.22879846608271
